31,76.02,7.07,0.81,15.01,16,2.11,111,103,317,14,0.97,0.389,0.446,0.6,17.3,0.381,0.235,1.263,0.854,0.198,106,0,0,0,0.098,0.06,0.468
32,61.2,9.06,0.49,27.91,52,2.3,65,165,508,2,0.96,0.271,0.548,1.4,0,0.257,0.063,0.57,0.299,0.175,168,0,0,0,0.126,0.042,0.21
33,62.95,9.01,0.65,26.22,46,2.09,50,147,436,1,0.98,0.219,0.453,6.2,0.8,0.193,0.062,0.318,0.21,0.229,172,0,0,0,0.136,0.133,0.235
34,93.39,1.86,0.32,4.1,15,0.66,18,30,98,51,0.17,0.107,0.123,0.6,6.1,0.067,0.059,0.725,0.235,0.054,29,0,0,0,0.039,0.024,0.185
35,63.24,8.97,0.64,25.81,73,2.84,68,169,463,2,1.09,0.149,0.51,1.3,0,0.236,0.059,0.272,0.251,0.127,137,0,0,0,0.166,0.056,0.276
36,89.22,1.89,0.28,7.88,46,1.28,25,39,299,3,0.36,0.103,0.294,0.4,9.7,0.074,0.097,0.614,0.074,0.056,33,0,4,0,0.064,0.011,0.145
37,63.08,9.73,0.35,25.09,90,3.7,63,113,561,6,1.38,0.287,0.636,1.3,0,0.118,0.046,0.14,0.229,0.093,81,0,0,0,0.091,0.031,0.152
38,62.98,9.16,1.08,25.28,62,2.48,74,183,325,5,1.06,0.186,0.455,1.3,1.8,0.187,0.103,0.708,0.229,0.129,81,0,0,0,0.279,0.094,0.466
39,89.13,2.57,0.2,5.46,114,1.9,68,41,909,241,0.5,0.251,0.514,0.9,24.9,0.117,0.289,0.499,0.329,0.132,14,0,383,0,0.031,0.038,0.07
40,87.06,1.68,0.18,9.96,16,0.79,23,38,305,77,0.35,0.074,0.326,0.7,3.6,0.027,0.04,0.331,0.145,0.067,80,0,2,0,0.028,0.035,0.064
41,91.88,2.09,0.81,3.55,102,3.64,57,55,491,88,0.22,0.143,0.385,0.9,32.5,0.059,0.165,0.94,0.045,0.088,10,0,219,0,0.197,0.245,0.127
42,71.54,7.6,0.4,19.65,36,1.5,43,125,268,5,1.01,0.259,0.421,2.6,0.3,0.097,0.089,0.711,0.157,0.072,104,0,1,0,0.066,0.079,0.164
