product_id,Water,Protein,Total lipid (fat),"Carbohydrate, by difference","Calcium, Ca","Iron, Fe","Magnesium, Mg","Phosphorus, P","Potassium, K","Sodium, Na","Zinc, Zn","Copper, Cu","Manganese, Mn","Selenium, Se","Vitamin C, total ascorbic acid",Thiamin,Riboflavin,Niacin,Pantothenic acid,Vitamin B-6,"Folate, total ",Vitamin B-12,"Vitamin A, RAE",Cholesterol,"Fatty acids, total saturated","Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated"
68,85.6,2.7,0.7,9.2,187,3.1,36,66,397,76,0.41,0.171,0.342,0.5,35,0.19,0.26,0.806,0.084,0.251,27,0,508,0,0.17,0.014,0.306
69,93,2,0.7,3.2,44,2.4,103,63,390,4,0.2,0.131,0.349,0.9,48,0.04,0.1,0.5,0.041,0.122,13,0,200,0,0,0,0
70,78.66,9.4,1.4,8.28,185,4,42,112,337,9,0.6,0.105,1.063,0.9,51.7,0.257,0.66,2.22,0.125,1.2,40,0,378,0,0,0,0
71,88.2,2.1,0.2,8.53,30,0.36,45,50,461,42,0.45,0.084,0.259,0.7,141,0.053,0.074,0.62,0.794,0.12,44,0,4,0,0.033,0.102,0.003
72,93.85,1.2,0.2,4.35,20,0.36,14,32,139,3,0.07,0.035,0.092,0.2,12,0.05,0.06,0.4,0.218,0.043,7,0,0,0,0.016,0.037,0.087
73,95.54,0.62,0.02,3.39,26,0.2,11,13,150,2,0.7,0.026,0.066,0.2,10.1,0.029,0.022,0.32,0.152,0.04,6,0,0,0,0.002,0.004,0.009
74,80.8,2.55,0.95,14.32,18,0.26,22,40,417,2,0.23,0.23,0.15,0.6,228.3,0.067,0.04,1.084,0.451,0.11,49,0,31,0,0.272,0.087,0.401
75,9.38,23.9,1.69,60.74,130,5.1,283,372,1235,21,9.3,1.335,1.573,8.2,0,1.13,0.136,1.61,1.237,0.155,23,0,0,0,0.288,0.076,0.715
76,87.87,2.1,0.2,9.19,50,0.74,40,49,252,2,0.37,0.047,0.205,1.5,12.9,0.077,0.092,0.52,0.055,0.024,62,0,43,0,0.088,0.095,0.008
77,87.72,4.65,0.25,5.8,208,4.76,64,83,559,8,0.79,0.255,0.123,0.9,37,0.133,0.546,1.26,0.072,0.6,123,0,278,0,0.038,0.017,0.12
78,89.63,2.92,1.49,4.42,254,1.6,33,55,348,53,0.39,0.053,0.92,0.9,93.4,0.113,0.347,1.18,0.37,0.147,62,0,241,0,0.178,0.104,0.673
79,91,1.7,0.1,6.2,24,0.4,19,46,350,20,0.03,0.129,0.139,0.7,62,0.05,0.02,0.4,0.165,0.15,16,0,2,0,0.013,0.007,0.048
80,83,1.5,0.3,14.15,59,2.1,28,35,180,20,0.12,0.12,0.481,1,12,0.06,0.03,0.4,0.14,0.233,64,0,83,0,0.04,0.004,0.166
81,8.26,24.63,1.06,63.35,35,6.51,47,281,677,6,3.27,0.754,1.393,0.1,4.5,0.873,0.211,2.605,2.14,0.54,479,0,2,0,0.154,0.193,0.526
82,67.34,8.96,0.55,22.14,25,3.21,37,173,322,11,1.51,0.352,0.506,0.6,16.5,0.228,0.128,1.128,0.578,0.19,100,0,2,0,0.057,0.104,0.219
83,70.24,6.84,0.86,20.17,34,3.14,58,136,467,8,0.78,0.318,1.215,1.8,23.4,0.217,0.103,1.474,0.247,0.204,34,0,10,0,0.198,0.05,0.419
84,10.17,21.46,0.69,63.38,81,7.51,224,385,1724,18,2.83,0.74,1.672,7.2,0,0.507,0.202,1.537,1.355,0.512,395,0,0,0,0.161,0.062,0.309
85,12.07,20.62,0.93,62.83,81,6.19,188,370,1403,13,2.6,0.665,1.686,7,0,0.574,0.218,1.712,1.265,0.327,400,0,0,0,0.219,0.084,0.42
86,79.1,2.6,0.1,17.23,45,1.16,23,100,556,40,0.39,0.257,0.261,0.7,44,0.16,0.22,0.4,0.377,0.258,13,0,0,0,0.03,0.02,0.02
87,10.44,36.17,9.74,40.37,176,4.36,198,440,1013,15,4.75,1.022,2.382,8.2,4.8,0.64,0.22,2.19,0.75,0.357,355,0,0,0,1.156,3.94,2.439
88,8.67,11.02,4.22,72.85,8,3.01,114,285,195,5,1.68,0.75,1.632,2.7,0,0.421,0.29,4.72,0.848,0.384,85,0,0,0,0.723,0.773,2.134
89,9.68,22.94,1.61,61.52,150,10.85,381,489,1191,30,1.92,0.688,1.82,8.2,4,0.562,0.091,2.8,1.535,0.366,649,0,2,0,0.364,0.129,0.75
90,81.44,1.34,0.1,16.3,26,0.44,12,34,418,13,0.27,0.11,0.242,0.7,2.6,0.102,0.019,0.481,0.433,0.179,14,0,0,0,0.022,0.004,0.045
91,9.05,23.86,1.15,62.62,132,6.74,189,367,1246,15,2.68,0.941,1.035,8.2,4.8,0.621,0.233,2.251,1.91,0.382,625,0,6,0,0.348,0.161,0.384
92,90.4,3.04,0.18,5.94,13,0.91,21,54,149,6,0.41,0.164,0.188,0.6,13.2,0.084,0.124,0.749,0.38,0.088,61,0,1,0,0.046,0.022,0.058
93,10.8,25.21,1.64,58.99,138,7.57,267,379,983,38,3.35,0.981,1.527,8.2,0,0.273,0.254,1.447,0.906,0.281,216,0,1,0,0.114,0.085,1.071
94,89.74,2.24,0.49,6.79,2,0.41,20,112,304,9,1.03,0.142,0.23,5.7,0,0.015,0.217,3.877,1.5,0.293,13,0,0,0,0,0,0
95,92.45,3.09,0.34,3.26,3,0.5,9,86,318,5,0.52,0.318,0.047,9.3,2.1,0.081,0.402,3.607,1.497,0.104,17,0.04,0,0,0.05,0,0.16
96,90.7,2.86,0.42,4.67,115,1.64,32,58,384,20,0.25,0.165,0,0.9,70,0.08,0.11,0.8,0.21,0.18,12,0,151,0,0.01,0.092,0.038
97,92.2,2.2,0.3,3.9,210,1.5,11,28,449,21,0.17,0.075,0.407,0.8,130,0.068,0.093,0.678,0.178,0.153,159,0,495,0,0.015,0.138,0.057
98,94,1.5,0.2,2.5,58,0.8,39,28,130,130,0.38,0.093,0.639,0.7,30,0.04,0.13,0.5,0.312,0.304,15,0,0,0,0.032,0.005,0.084
99,6.88,14.38,0.71,74.62,35,2.7,95,254,252,792,1.71,0.23,1.291,0,0,0.48,0.13,3.21,0.954,0.24,60,0,0,0,0.136,0.185,0.22
100,9.21,11.35,0.81,74.1,23,1.32,28,80,164,1840,0.45,0.144,0.479,8.3,0,0.101,0.026,0.875,0.491,0.05,14,0,0,0,0.115,0.095,0.33
101,94.12,1.32,0.09,3.33,164,0.59,52,16,257,21,0.25,0.052,0.457,0.7,9.3,0.012,0.041,0.41,0.167,0.07,3,0,23,0,0.016,0.018,0.05
102,43.95,4.2,1.11,49.07,18,1.41,84,96,447,3,0.87,0.363,1.601,0,36,0.16,0.18,0.8,0.555,0.41,68,0,10,0,0.164,0.581,0.288
103,52,1.63,1.25,44.17,19,0.94,30,38,484,2,0.49,0.418,0.336,0,40.2,0.144,0.016,1.102,0.476,0.352,58,0,1,0,0.235,0.43,0.493
104,61.41,2.25,0.53,34.91,31,1.45,49,72,329,14,1.1,0.562,1.591,0,26.3,0.344,0.163,1.5,0.206,0.283,47,0,2,0,0.078,0.278,0.138
105,6.55,17.3,7.03,66.22,58,5.41,235,734,566,4,3.11,0.403,5.63,45.2,0,1.17,0.22,0.934,1.494,0.165,52,0,0,0,1.328,2.376,2.766
106,89.58,1.93,0.19,7.45,82,0.62,57,61,299,7,0.58,0.109,0.788,0.7,23,0.2,0.06,1,0.245,0.215,60,0,36,0,0.026,0.017,0.027
107,89.11,1.1,0.1,9.34,23,0.21,10,29,146,4,0.17,0.039,0.129,0.5,7.4,0.046,0.027,0.116,0.123,0.12,19,0,0,0,0.042,0.013,0.017
108,79.53,1.2,0.3,17.99,36,0.59,29,71,375,10,0.59,0.12,0.56,1.8,17,0.09,0.05,0.7,0.6,0.09,67,0,0,0,0.05,0.112,0.047
109,9.9,13.04,1.51,74.67,21,3.3,53,189,223,6,1.41,0.289,0.917,63.2,0,0.891,0.4,7.177,0.431,0.142,237,0,0,0,0.277,0.171,0.564
110,9.9,13.04,1.51,74.67,21,1.3,53,189,223,6,1.41,0.289,0.917,63.2,0,0.09,0.06,1.7,0.431,0.142,18,0,0,0,0.277,0.171,0.564
111,31,11.31,2.3,54.73,15,3.35,46,163,179,26,1.22,0.228,0.547,0,0,0.705,0.439,3.35,0.535,0.093,176,0.31,14,73,0.328,0.271,0.942
112,30.1,11.26,2.1,55.72,43,3.3,63,148,272,27,1.4,0.197,0.781,0,0,0.609,0.398,3.46,0.688,0.315,177,0.31,25,73,0.483,0.659,0.467
113,10,7.46,2.08,79.26,4,0.93,119,253,294,3,1.79,0.202,0.483,7.9,0,0.231,0.087,2.43,0.484,0.206,25,0,9,0,0.29,0.543,0.924
114,8.85,13.51,2.68,73.1,27,3.33,104,287,366,11,2.4,0.426,2.242,69.4,0,0.371,0.193,7.948,0.8,0.28,59,0,0,0,0.351,0.281,0.928
115,88.89,2.8,0.2,7.55,43,2.08,24,53,200,4,0.27,0.079,0.244,0.7,60,0.15,0.08,0.6,0.75,0.16,42,0,54,0,0.039,0.021,0.089
116,78.86,5.42,0.4,14.45,25,1.47,33,108,244,5,1.24,0.176,0.41,1.8,40,0.266,0.132,2.09,0.104,0.169,65,0,38,0,0.071,0.035,0.187
117,62.27,8.8,0.68,27.11,36,2.26,56,165,381,20,1.05,0.272,0.438,0.6,10.4,0.225,0.155,3.088,1.029,0.265,144,0,0,0,0.124,0.061,0.326
118,8.69,23.12,3.89,61.63,46,4.73,63,334,852,5,3.49,0.809,1.19,10.7,1.8,0.719,0.244,3.608,0.962,0.14,15,0,7,0,0.408,0.615,1.022
119,93.89,0.86,0.17,4.64,10,0.34,10,20,175,3,0.13,0.066,0.122,0,80.4,0.057,0.028,0.48,0.099,0.224,10,0,18,0,0.058,0.008,0.062
120,92.21,0.99,0.3,6.03,7,0.43,12,26,211,4,0.25,0.017,0.112,0.1,127.7,0.054,0.085,0.979,0.317,0.291,46,0,157,0,0.059,0.007,0.156
121,10.59,21.7,1.49,62.78,130,5.23,183,367,1392,17,2.76,1.057,1.791,8.2,0,0.643,0.187,2.965,1.266,0.283,456,0,1,0,0.33,0.012,0.814
122,65.88,7.2,1.64,23.88,42,1.6,68,127,552,5,1.04,0.134,0.574,1.5,39,0.4,0.17,2.2,0.68,0.068,173,0,3,0,0.354,0.013,0.873
123,61.1,1.25,0.07,36.66,2,0.75,41,31,431,2,0.18,0.116,0.109,0,20.2,0.1,0.1,0.55,0.53,0.07,28,0,0,0,0.121,0.019,0.031
124,91.6,2.6,0.4,3.7,53,1.7,18,44,242,23,0.24,0.157,0.418,0.9,136,0.08,0.33,1.2,0.049,0.146,16,0,435,0,0,0,0
125,79.25,2.05,0.09,17.49,12,0.81,23,57,425,6,0.3,0.11,0.153,0.4,19.7,0.081,0.032,1.061,0.295,0.298,15,0,0,0,0.025,0.002,0.042
126,83.29,2.57,0.1,12.44,30,3.24,23,38,413,10,0.35,0.423,0.602,0.3,11.4,0.021,0.038,1.033,0.302,0.239,17,0,0,0,0.026,0.002,0.043
127,60.69,2.62,0.36,35.67,130,1.27,63,31,156,5,0.37,0.053,0.266,14.7,5.5,0.178,0.09,1.071,0,0.47,10,0,0,0,0,0,0
128,95.15,1.03,0.07,3.28,39,0.7,24,49,173,5,0,0,0,0.7,28,0.042,0.075,0.69,0,0,59,0,97,0,0.036,0.009,0.004
129,92.88,3.15,0.4,2.33,39,2.22,38,104,436,11,0.2,0.133,0.355,0.9,11,0.094,0.128,0.92,0.042,0.207,36,0,97,0,0.207,0.052,0.022
130,91.6,1,0.1,6.5,21,0.8,12,44,340,1,0.32,0.127,0.125,0.3,9,0.05,0.11,0.6,0.298,0.061,16,0,426,0,0.052,0.013,0.005
131,92.86,2.03,0.36,3.39,65,1.99,68,44,494,45,0.17,0.113,0.303,0.9,21,0.047,0.112,0.48,0.036,0.073,12,0,0,0,0,0,0
132,13.28,14.12,6.07,64.16,47,4.57,197,457,563,5,3.1,0.59,2.033,8.5,0,0.36,0.318,1.52,0.772,0.487,184,0,1,0,0.706,1.613,3.292
133,94.62,0.6,0.1,4.1,27,0.4,16,23,227,21,0.15,0.115,0.038,0.7,22,0.02,0.02,0.2,0.138,0.046,28,0,0,0,0.03,0.017,0.045
134,11.91,5.95,0.56,80.18,18,0.7,12,153,30,182,0.74,0.078,0.498,15.1,0,0.031,0.017,0.221,0.051,0.015,3,0,0,0,0.153,0.175,0.15
135,11.8,7.54,3.2,76.25,9,1.29,116,311,250,5,2.13,0.302,2.853,17.1,0,0.541,0.095,6.494,1.065,0.477,23,0,0,0,0.591,1.054,1
136,12.37,7.5,2.68,76.17,33,1.8,143,264,268,4,2.02,0.277,3.743,0,0,0.413,0.043,4.308,1.493,0.509,20,0,0,0,0.536,0.971,0.959
137,9.82,7.6,2.75,78.68,8,1.16,98,275,219,6,1.96,0.327,2.975,25.2,0,0.277,0.092,4.973,0.895,0.407,14,0,0,0,0.481,1.024,0.841
138,89.43,1.08,0.16,8.62,43,0.44,20,53,305,12,0.24,0.032,0.131,0.7,25,0.09,0.04,0.7,0.16,0.1,21,0,0,0,0.027,0.025,0.088
139,77,3.3,0.2,18.6,60,0.7,23,75,380,20,0.38,0.089,0.268,0.8,8,0.08,0.22,0.5,0.371,0.277,26,0,0,0,0,0,0
140,56.27,7.4,5.59,29.24,36,3.67,54,175,941,25,0.9,1.148,0.142,0,6.6,0.482,0.301,0.438,0.877,0.32,53,0,13,0,1.509,0.712,2.977
141,91.58,1.28,0.04,6.73,19,0.84,12,30,184,15,0,0,0,0.9,73,0.083,0.081,0.43,0,0,102,0,0,0,0,0,0
142,67.5,12.95,6.8,11.05,197,3.55,65,194,620,15,0.99,0.128,0.547,1.5,29,0.435,0.175,1.65,0.147,0.065,165,0,9,0,0.786,1.284,3.2
143,8.54,36.49,19.94,30.16,277,15.7,280,704,1797,2,4.89,1.658,2.517,17.8,6,0.874,0.87,1.623,0.793,0.377,375,0,1,0,2.884,4.404,11.255
144,69.05,13.09,6.7,9.57,67,2.1,72,164,484,14,1.17,0.427,0.702,0.6,15.3,0.34,0.118,1.148,0.929,0.176,172,0,1,0,0.929,1.518,3.783
145,9.23,21.78,2.23,65.65,39,4.15,65,163,201,8,1.79,0.278,0.91,0,0,1.187,0.475,7.654,0.684,0.178,278,0,0,0,0.328,0.271,0.986
146,8.34,13.35,1.57,74.81,58,2.13,174,332,376,36,2.76,0.499,2.645,63.5,0,0.373,0.196,4.55,1.214,0.323,48,0,23,0,0.226,0.181,0.641
147,11.02,14.57,2.43,70.19,27,4.44,136,401,388,8,3.28,0.511,2.983,11.7,0,0.364,0.113,6.843,1.068,0.23,45,0,0,0,0.406,0.445,1.258
148,93.35,0.52,0.2,5.64,9,0.17,10,12,205,20,0.07,0.017,0.027,0,4.5,0.02,0.02,0.17,0.11,0.058,22,0,0,0,0,0,0
149,94.64,1.21,0.18,3.35,15,0.35,17,38,262,2,0.29,0.051,0.175,0.2,17,0.048,0.142,0.487,0.155,0.218,29,0,10,0,0.044,0.016,0.089
150,94.28,1.01,0.27,3.88,21,0.44,20,32,222,2,0.29,0.092,0.172,0.2,19.3,0.051,0.041,0.448,0.16,0.104,19,0,8,0,0.093,0.013,0.082
151,94.18,1.2,0.2,3.84,19,0.4,23,36,182,1,0.29,0.102,0.157,0.2,18,0.07,0.03,0.6,0.102,0.109,30,0,11,0,0.041,0.015,0.084
152,87.78,0.8,0.1,10.42,33,0.7,32,36,347,3,0.13,0.065,0.167,0.5,11,0.14,0.01,0.7,0.4,0.154,17,0,18,0,0.021,0.007,0.042
153,89.76,0.95,0.13,8.59,28,0.58,14,23,350,4,0.21,0.071,0.163,0.4,12.3,0.03,0.062,0.5,0.188,0.156,24,0,68,0,0.027,0.01,0.056
154,86.41,1,0.1,11.69,48,0.7,34,33,352,4,0.15,0.072,0.202,0.5,21,0.1,0.02,1.2,0.4,0.154,27,0,532,0,0.021,0.007,0.042
155,88,2,0.5,8.7,14,0.4,19,21,320,7,0.13,0.064,0.179,0.5,11,0.07,0.04,0.5,0.4,0.154,16,0,68,0,0.103,0.037,0.21
156,91.6,0.64,0.57,6.91,23,0.31,12,12,108,17,0.19,0.037,0.125,0.3,2.1,0.037,0.018,0.95,0.36,0.101,12,0,6,0,0.117,0.042,0.239
157,73.1,5.03,1.02,19.59,18,1.83,48,113,369,4,0.61,0.186,0.688,0.6,15.1,0.208,0.082,1.587,0.128,0.13,40,0,15,0,0.19,0.198,0.489
158,86.81,2.49,0.51,8.82,78,0.97,70,81,508,6,0,0,0,0.9,11,0.156,0.345,1.13,0.225,0.19,0,0,189,0,0.111,0.02,0.228
159,77.28,1.57,0.05,20.12,30,0.61,25,47,337,55,0.3,0.151,0.258,0.6,2.4,0.078,0.061,0.557,0.8,0.209,11,0,709,0,0.018,0.001,0.014
160,85.66,4.98,0.74,6.7,107,2.25,45,60,648,3,0.41,0.27,0.714,0.9,52,0.209,0.456,1.513,0.084,0.146,126,0,241,0,0.151,0.06,0.307
161,95.82,0.92,0.09,2.32,12,0.6,8,28,332,1,0.51,0.088,0.122,0.9,21,0.04,0.05,0.8,0.075,0.111,3,0,3,0,0.018,0.007,0.037
162,70.64,1.5,0.2,26.46,43,0.55,33,84,591,11,0.23,0.172,0.383,0.7,4.5,0.095,0.025,0.6,0.303,0.283,22,0,4,0,0.041,0.016,0.083
163,87.96,2.79,0.97,6.91,129,1.3,47,45,606,50,0.09,0.071,0.157,0.7,96,0.062,0.244,0.995,0.124,0.116,9,0,102,0,0.197,0.078,0.4
164,8.82,13.3,2.38,73.13,180,7.63,184,429,427,12,3.63,0.81,9.24,4.4,0,0.39,0.27,3.363,0.942,0.482,0,0,0,0,0.449,0.589,1.071
165,59.65,20.29,10.8,7.64,111,2.7,81,266,412,9,1.14,0.56,1.3,0,0,0.078,0.358,2.64,0.278,0.215,24,0.08,0,0,2.539,3.205,4.3
166,94.52,0.88,0.2,3.89,10,0.27,11,24,237,5,0.17,0.059,0.114,0,13.7,0.037,0.019,0.594,0.089,0.08,15,0,42,0,0.028,0.031,0.083
167,89.67,1.5,0.3,7.13,190,1.1,31,42,296,40,0.19,0.35,0.466,1.2,60,0.07,0.1,0.6,0.38,0.263,194,0,579,0,0.07,0.02,0.12
168,91.87,0.9,0.1,6.43,30,0.3,11,27,191,67,0.27,0.085,0.134,0.7,21,0.04,0.03,0.4,0.2,0.09,15,0,0,0,0.011,0.006,0.053
169,92.47,2.6,0.2,3.13,77,1.67,71,39,312,113,0.18,0.023,0.16,0.9,55,0.03,0.1,0.9,0.141,0.096,57,0,315,0,0,0,0
170,96.1,0.4,0.2,3,19,0.4,10,19,6,111,0.61,0.023,0.058,0.2,13,0.04,0.11,0.4,0.133,0.035,5,0,0,0,0.016,0.037,0.087
171,11.07,14.54,2.13,70.58,22,3.77,130,364,403,5,3.68,0.506,2.735,81.5,0,0.566,0.184,6.375,0.949,0.259,0,0,1,0,0.196,0.213,0.621
172,7.76,14.73,1.08,74.9,21,1.96,177,433,427,7,5.96,0.524,1.329,2.8,0,0.115,0.262,6.733,1.074,0.391,95,0,1,0,0.156,0.159,0.676
173,87.04,6.95,0.87,4.31,84,1.5,34,37,223,4,0.39,0.051,0.218,1.5,18.3,0.14,0.1,0.9,0.059,0.113,66,0,0,0,0.238,0.25,0.186
174,8.34,29.65,16.32,41.71,440,13.44,179,451,977,38,4.48,2.88,3.721,8.2,0,1.03,0.45,3.09,0.795,0.175,45,0,0,0,2.303,6.012,4.33
175,69.6,1.53,0.17,27.88,17,0.54,21,55,816,9,0.24,0.178,0.397,0.7,17.1,0.112,0.032,0.552,0.314,0.293,23,0,7,0,0.037,0.006,0.076
176,90.07,0.72,0.09,8.82,12,0.6,12,18,150,4,0.16,0.048,0.06,0.7,20.2,0.02,0.029,0.2,0.135,0.042,12,0,1,0,0.021,0.005,0.043
177,87.85,2.8,0.4,8.35,50,0.47,44,59,240,4,0.37,0.048,0.205,1.5,18.8,0.107,0.11,0.41,0.055,0.024,62,0,43,0,0.105,0.036,0.169
178,8.43,24.33,1.31,61.91,138,8.61,338,559,1157,17,3.5,0.879,1.59,8.2,1.6,0.887,0.235,2.158,1.556,0.371,658,0,3,0,0.339,0.114,0.565
179,70.08,20.64,8.55,0,25,1.49,21,189,317,52,3.58,0.07,0.011,23.1,0,0.064,0.1,6.087,0.594,0.563,11,1.06,0,66,3.14,4.246,0.394
180,69.37,20.64,9.51,0,25,1.47,21,183,313,51,3.61,0.067,0.013,22.1,0,0.055,0.087,6.658,0.603,0.556,11,1.15,0,68,3.493,4.724,0.438
181,70.73,20.64,7.68,0,24,1.51,21,194,321,53,3.54,0.073,0.01,24.1,0,0.074,0.112,5.516,0.585,0.57,11,0.98,0,65,2.822,3.816,0.354
182,71.33,21.17,7.06,0,27,1.54,22,193,323,54,3.92,0.069,0.013,24.1,0,0.059,0.104,7.17,0.63,0.581,13,1.15,0,64,2.132,3.045,0.288
183,73.48,21.34,4.21,0,22,1.55,23,204,344,54,3.85,0.074,0.011,29.7,0,0.072,0.115,6.201,0.627,0.602,12,0.9,0,59,1.5,2.144,0.203
184,68.26,19.14,12.02,0,17,2.08,19,186,310,80,7.54,0.059,0.009,20,0,0.061,0.141,4.323,0.553,0.365,3,2.69,4,67,5.072,5.908,0.527
185,69.61,19.25,10.67,0,18,2.12,19,187,367,82,7.66,0.066,0.01,22.4,0,0.07,0.155,4.56,0.675,0.414,3,2.78,4,73,4.998,5.732,0.525
186,72.48,20.61,6.01,0,18,2.18,21,204,357,85,8.21,0.065,0.011,22.5,0,0.065,0.16,4.593,0.655,0.403,3,2.95,2,69,2.55,3.11,0.31
187,72.16,20.67,6.21,0,17,2.18,21,201,332,85,8.25,0.063,0.011,21.8,0,0.06,0.157,4.593,0.59,0.383,3,2.91,2,67,2.354,2.938,0.299
188,72.96,20.52,5.71,0,19,2.21,21,200,393,86,8.29,0.071,0.011,24.3,0,0.07,0.17,4.83,0.72,0.435,3,2.98,2,74,1.61,3.67,0.37
189,64.48,18.86,16.35,0,14,2.1,19,179,329,66,7.26,0.064,0.009,19.8,0,0.074,0.144,4.351,0.649,0.362,3,2.7,4,68,6.963,7.739,0.666
190,63.98,18.86,16.85,0,14,2.1,19,179,330,66,7.3,0.065,0.008,19.9,0,0.07,0.141,4.34,0.642,0.326,3,2.74,4,68,7.176,7.978,0.65
191,65.24,18.86,15.6,0,14,2.14,20,184,342,68,7.36,0.062,0.009,19.7,0,0.078,0.143,4.377,0.656,0.405,3,2.64,4,68,6.644,7.381,0.689
192,70.25,21.29,7.56,0,15,2.28,22,202,371,70,8.39,0.072,0.01,22.8,0,0.075,0.17,4.827,0.73,0.392,3,3.07,2,67,3.267,3.71,0.372
193,69.48,21.31,8.29,0,15,2.27,22,201,371,70,8.41,0.074,0.01,22.9,0,0.07,0.167,4.803,0.72,0.346,3,3.1,2,66,3.605,4.088,0.359
194,71.41,21.28,6.47,0,15,2.33,23,209,388,73,8.54,0.07,0.011,22.8,0,0.08,0.17,4.87,0.74,0.446,3,3,2,69,2.759,3.143,0.392
195,73.3,21.13,4.79,0,11,2.43,25,223,343,80,7.93,0.087,0.012,24.1,0,0.08,0.214,3.587,0.858,0.413,3,3.11,3,67,2.059,2.457,0.377
196,72.83,21.19,5.18,0,11,2.5,26,229,347,82,8,0.089,0.013,24.1,0,0.08,0.215,3.513,0.814,0.407,3,3.19,3,67,2.114,2.576,0.365
197,74.01,21.05,4.2,0,11,2.25,24,215,341,76,7.85,0.083,0.012,24.9,0,0.08,0.217,3.72,0.902,0.445,3,2.99,3,68,1.976,2.279,0.396
198,73.71,21.3,4.17,0,11,2.44,25,225,346,81,8,0.088,0.012,24.3,0,0.08,0.217,3.603,0.865,0.416,3,3.13,2,67,1.7,2.1,0.35
199,73.2,21.36,4.6,0,11,2.51,26,230,349,83,8.06,0.09,0.013,24.3,0,0.08,0.217,3.527,0.82,0.409,3,3.22,2,67,1.884,2.328,0.348
200,74.46,21.22,3.53,0,11,2.26,24,216,344,76,7.93,0.084,0.012,25.2,0,0.08,0.22,3.74,0.91,0.448,3,3.02,2,68,1.47,1.7,0.32
201,72.8,20.54,6.22,0,5,1.95,23,196,327,58,3.72,0.131,0.016,33.3,0,0.087,0.269,4.51,0.799,0.503,7,3.97,0,57,2.088,2.136,0.34
202,72.87,20.51,6.36,0,5,2.01,23,200,339,59,3.98,0.131,0.014,30.8,0,0.085,0.235,4.58,0.779,0.516,7,3.98,0,56,2.328,2.43,0.326
203,72.79,20.93,5.79,0,5,2.39,25,219,366,60,4.38,0.13,0.018,31.8,0,0.089,0.269,5.57,0.921,0.519,7,5.09,0,58,1.988,1.979,0.337
204,72.51,20.67,5.88,0,4,2.31,24,215,355,60,5.49,0.094,0.014,30.4,0,0.079,0.238,5.193,0.775,0.656,7,3.93,0,57,1.985,2.937,0.397
205,72.49,20.39,6.12,0,4,2.14,24,212,347,61,5.24,0.088,0.011,29.7,0,0.072,0.23,5.13,0.731,0.673,7,3.56,0,57,2.083,3.439,0.554
206,72.54,21.13,5.51,0,4,2.64,25,221,370,58,5.99,0.107,0.02,32,0,0.093,0.253,5.32,0.861,0.622,7,4.68,0,58,1.791,1.933,0.341
207,70.46,18.99,10.52,0,6,2.36,21,184,309,74,6.88,0.119,0.016,29.8,0,0.099,0.227,3.42,0.952,0.37,3,5.05,0,66,3.945,4.144,0.475
208,70,18.75,11.33,0,5,2.23,20,178,302,74,6.58,0.121,0.015,28.9,0,0.079,0.211,3.38,0.933,0.375,3,4.96,0,65,4.186,4.408,0.463
209,71.19,19.38,9.22,0,6,2.62,23,198,324,75,7.47,0.116,0.017,31.5,0,0.14,0.258,3.5,0.99,0.358,3,5.23,0,66,3.464,3.616,0.498
210,68.11,18.99,11.64,0.36,11,2.38,20,178,315,76,7.4,0.075,0.014,21.2,0,0.08,0.191,3.252,0.786,0.399,3,3.03,4,69,4.831,5.643,0.579
211,67.31,18.85,12.4,0.53,11,2.37,20,177,312,75,7.32,0.075,0.014,21.5,0,0.08,0.195,3.316,0.853,0.402,3,2.9,4,70,5.137,6.04,0.617
212,69.3,19.2,10.5,0.09,11,2.38,20,181,320,76,7.51,0.076,0.014,20.8,0,0.079,0.183,3.292,0.72,0.421,3,3.22,4,68,4.37,5.047,0.522
213,69.19,19.42,9.99,0.49,11,2.42,20,181,321,77,7.58,0.077,0.014,21.7,0,0.08,0.197,3.287,0.805,0.405,3,3.1,2,69,4.132,4.889,0.526
214,68.24,19.23,10.96,0.67,12,2.4,20,180,317,76,7.47,0.076,0.014,22,0,0.08,0.2,3.347,0.87,0.407,3,2.95,2,70,4.588,5.45,0.576
215,70.62,19.71,8.54,0.21,11,2.43,20,186,329,77,7.76,0.078,0.014,21.5,0,0.08,0.19,3.34,0.74,0.43,3,3.32,2,68,3.449,4.048,0.452
216,70.73,21.22,7.17,0,25,1.55,22,195,328,54,3.7,0.072,0.012,23.9,0,0.066,0.102,6.257,0.61,0.579,11,1.09,0,65,2.978,2.924,0.277
217,69.46,21.22,8.29,0,27,1.55,22,193,330,54,3.81,0.071,0.013,23.3,0,0.056,0.09,6.842,0.619,0.571,12,1.18,0,68,3.443,3.38,0.335
218,71.99,21.22,6.06,0,24,1.54,22,197,326,54,3.6,0.074,0.01,24.5,0,0.076,0.115,5.671,0.601,0.586,11,1.01,0,62,2.514,2.469,0.234
219,72.08,21.57,5.47,0,24,1.57,23,202,340,55,3.94,0.073,0.013,26.4,0,0.066,0.108,6.683,0.638,0.604,13,1.06,0,62,2.058,1.951,0.193
220,68.72,21.72,6.29,0,28,1.62,23,204,340,57,4.12,0.072,0.014,25.4,0,0.06,0.106,7.353,0.647,0.596,13,1.18,0,69,2.612,2.477,0.259
