product_id,Water,Protein,Total lipid (fat),"Carbohydrate, by difference","Calcium, Ca","Iron, Fe","Magnesium, Mg","Phosphorus, P","Potassium, K","Sodium, Na","Zinc, Zn","Copper, Cu","Manganese, Mn","Selenium, Se","Vitamin C, total ascorbic acid",Thiamin,Riboflavin,Niacin,Pantothenic acid,Vitamin B-6,"Folate, total ",Vitamin B-12,"Vitamin A, RAE",Cholesterol,"Fatty acids, total saturated","Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated"
383,53.68,15.32,30.71,0,14,1.43,19,143,201,58,2.87,0.092,0.017,17.7,0,0.1,0.19,6.06,0.62,0.12,15,2.14,0,74,13.43,12.6,2.42
384,70.44,19.98,9.23,0,12,1.67,25,181,265,72,3.8,0.111,0.024,22.3,0,0.12,0.2,5.89,0.65,0.16,21,2.38,0,66,3.3,3.71,0.84
385,70.44,19.98,9.23,0,12,1.67,25,181,265,72,3.8,0.111,0.024,22.3,0,0.12,0.2,5.89,0.65,0.16,21,2.38,0,66,3.3,3.71,0.84
386,61.76,16.79,20.9,0,14,1.56,21,159,238,60,3.43,0.102,0.019,19.3,0,0.11,0.22,6.09,0.69,0.13,19,2.44,0,71,9.15,8.58,1.65
387,61.76,16.79,20.9,0,14,1.56,21,159,238,60,3.43,0.102,0.019,19.3,0,0.11,0.22,6.09,0.69,0.13,19,2.44,0,71,9.15,8.58,1.65
388,63.3,17.19,18.94,0,14,1.58,22,162,244,61,3.52,0.104,0.02,19.8,0,0.11,0.22,6.08,0.69,0.13,19,2.47,0,70,8.24,7.77,1.5
389,63.3,17.19,18.94,0,14,1.58,22,162,244,61,3.52,0.104,0.02,19.8,0,0.11,0.22,6.08,0.69,0.13,19,2.47,0,70,8.24,7.77,1.5
390,74.14,19.99,5.2,0,12,1.74,25,186,287,69,4.15,0.116,0.024,22.7,0,0.12,0.23,6,0.72,0.15,24,2.67,0,64,1.86,2.09,0.48
391,74.14,19.99,5.2,0,12,1.74,25,186,287,69,4.15,0.116,0.024,22.7,0,0.12,0.23,6,0.72,0.15,24,2.67,0,64,1.86,2.09,0.48
392,61.9,16.63,20.86,0,17,1.48,21,160,229,62,4.28,0.096,0.02,19.2,0,0.11,0.2,5.43,0.67,0.14,19,2.59,0,72,8.93,8.54,1.68
393,61.9,16.63,20.86,0,17,1.48,21,160,229,62,4.28,0.096,0.02,19.2,0,0.11,0.2,5.43,0.67,0.14,19,2.59,0,72,8.93,8.54,1.68
394,63.39,17.01,18.97,0,17,1.5,21,163,234,63,4.4,0.098,0.02,19.6,0,0.11,0.21,5.4,0.68,0.14,20,2.62,0,71,8.04,7.76,1.54
395,63.39,17.01,18.97,0,17,1.5,21,163,234,63,4.4,0.098,0.02,19.6,0,0.11,0.21,5.4,0.68,0.14,20,2.62,0,71,8.04,7.76,1.54
396,72.36,19.29,7.63,0,16,1.62,24,183,268,70,5.11,0.107,0.024,22,0,0.12,0.22,5.19,0.7,0.16,23,2.83,0,67,2.73,3.07,0.7
397,72.36,19.29,7.63,0,16,1.62,24,183,268,70,5.11,0.107,0.024,22,0,0.12,0.22,5.19,0.7,0.16,23,2.83,0,67,2.73,3.07,0.7
398,61.39,16.58,21.45,0,16,1.5,21,158,230,61,3.94,0.097,0.019,19.2,0,0.11,0.21,5.66,0.68,0.13,19,2.53,0,72,9.28,8.79,1.71
399,61.39,16.58,21.45,0,16,1.5,21,158,230,61,3.94,0.097,0.019,19.2,0,0.11,0.21,5.66,0.68,0.13,19,2.53,0,72,9.28,8.79,1.71
400,63.36,17.07,18.96,0,16,1.53,21,163,237,63,4.12,0.1,0.02,19.7,0,0.11,0.21,5.62,0.68,0.14,19,2.57,0,71,8.1,7.76,1.52
401,63.36,17.07,18.96,0,16,1.53,21,163,237,63,4.12,0.1,0.02,19.7,0,0.11,0.21,5.62,0.68,0.14,19,2.57,0,71,8.1,7.76,1.52
402,72.99,19.55,6.76,0,15,1.66,24,184,274,70,4.77,0.109,0.024,22.2,0,0.12,0.22,5.45,0.71,0.16,23,2.78,0,66,2.42,2.72,0.62
403,72.99,19.55,6.76,0,15,1.66,24,184,274,70,4.77,0.109,0.024,22.2,0,0.12,0.22,5.45,0.71,0.16,23,2.78,0,66,2.42,2.72,0.62
404,43.95,4.2,1.11,49.07,18,1.41,84,96,447,3,0.87,0.363,1.601,0,36,0.16,0.18,0.8,0.555,0.41,68,0,10,0,0.164,0.581,0.288
405,61.41,2.25,0.53,34.91,31,1.45,49,72,329,14,1.1,0.562,1.591,0,26.3,0.344,0.163,1.5,0.206,0.283,47,0,2,0,0.078,0.278,0.138
406,6.5,25.8,49.24,16.13,92,4.58,168,376,705,18,3.27,1.144,1.934,7.2,0,0.64,0.135,12.066,1.767,0.348,240,0,0,0,6.279,24.426,15.558
407,45,5.97,0.99,46.28,98,2.09,68,67,1183,31,1.13,1.444,0.178,0,27.4,0.055,0.055,0.88,1.103,0.403,66,0,12,0,0.267,0.126,0.527
408,66.16,18.58,13.06,0,12,1.37,31,197,198,103,2.51,0.088,0.008,13.1,0,0.113,0.28,5.52,0.67,0.446,3,2.28,0,49,5.108,6.159,0.732
409,74.8,20.98,3.08,0,5,0.79,26,220,367,63,2.3,0.108,0.029,9,0,0.08,0.27,9.42,1.07,0.46,14,1.04,0,78,1.18,1.12,0.24
410,75.82,21.28,1.76,0,5,0.8,27,223,372,64,2.34,0.11,0.029,9.1,0,0.08,0.28,9.56,1.09,0.47,14,1.05,0,78,0.53,0.56,0.18
411,75.2,22.07,2.07,0,4,0.81,30,212,273,86,1.97,0.089,0.017,16,0,0.1,0.34,9.28,0.58,0.599,4,2.08,0,56,0.805,0.986,0.107
412,69.44,20.07,10.07,0.07,14,0.84,43,222,241,98,2.01,0.082,0.013,16.2,0,0.078,0.28,6.617,0.629,0.604,3,2.46,0,59,3.607,4.808,0.404
413,74.79,21.85,2.9,0,11,0.85,47,237,260,99,2.15,0.088,0.014,18,0,0.086,0.31,7.25,0.69,0.683,3,2.65,0,55,1.121,1.353,0.193
414,71.15,18.86,9.01,0,13,0.86,22,184,290,89,3.24,0.102,0.027,8.2,0,0.07,0.23,6.68,1.13,0.42,12,1.29,0,82,3.71,3.43,0.63
415,75.18,19.97,3.89,0,14,0.88,23,194,306,95,3.47,0.108,0.029,8.5,0,0.07,0.24,7.05,1.19,0.44,13,1.36,0,83,1.17,1.25,0.4
416,74.05,19.34,5.44,0,21,1,25,208,327,83,3.2,0.12,0.028,8.4,0,0.08,0.27,7.63,1.26,0.44,15,1.37,0,82,2.26,2.08,0.38
417,76.64,20.04,2.16,0,22,1.02,26,215,339,86,3.34,0.124,0.029,8.6,0,0.08,0.28,7.91,1.3,0.46,16,1.42,0,83,0.65,0.69,0.22
418,72.6,18.72,7.61,0.03,23,1.22,32,202,198,91,3.18,0.08,0.012,14.9,0,0.101,0.397,4.491,0.971,0.437,3,2.73,0,62,2.701,3.642,0.313
419,76.29,19.6,2.88,0,23,1.26,33,209,203,92,3.38,0.083,0.012,15.8,0,0.109,0.43,4.61,1.05,0.466,3,2.88,0,60,1.113,1.361,0.171
420,72.6,18.72,7.61,0.03,23,1.22,32,202,198,91,3.18,0.08,0.012,14.9,0,0.101,0.397,4.491,0.971,0.437,3,2.73,0,62,2.701,3.642,0.313
421,76.29,19.6,2.88,0,23,1.26,33,209,203,92,3.38,0.083,0.012,15.8,0,0.109,0.43,4.61,1.05,0.466,3,2.88,0,60,1.113,1.361,0.171
422,74.78,19.27,5.28,0,22,0.91,23,203,302,91,3.93,0.119,0.028,8.1,0,0.09,0.29,6.19,1.42,0.39,12,1.67,0,87,2.05,1.94,0.41
423,76.58,19.79,3,0,22,0.9,24,208,311,92,4.06,0.121,0.029,8.3,0,0.09,0.29,6.15,1.45,0.4,11,1.68,0,86,0.9,0.96,0.31
424,71.85,19.07,7.81,0,11,0.78,24,209,329,76,2.55,0.11,0.027,8.5,0,0.08,0.3,8.44,1.36,0.49,13,1.27,0,78,3.35,3.04,0.51
425,75.94,20.2,2.59,0,11,0.8,26,220,348,80,2.73,0.116,0.029,8.7,0,0.08,0.31,8.97,1.45,0.52,14,1.34,0,79,0.78,0.83,0.27
